ボーダーブレイク	ぼーだーぶれいく	固有名詞
重火力兵装	じゅうかりょくへいそう	固有名詞
重火	じゅうか	固有名詞
強襲兵装	きょうしゅうへいそう	固有名詞
強襲	きょうしゅう	固有名詞
支援兵装	しえんへいそう	固有名詞
支援	しえん	固有名詞
遊撃兵装	ゆうげきへいそう	固有名詞
遊撃	ゆうげき	固有名詞
兵装	へいそう
コア凸	こあとつ
プラント	ぷらんと	地名
Bプラ	びーぷら	地名
Dプラ	でぃーぷら	地名
Fプラ	えふぷら	地名
Eプラ	いーぷら	地名
Cプラ	しーぷら	地名
Aプラ	えーぷら	地名
α側	あるふぁがわ
β側	べーたがわ
ユニオンバトル	ゆにおんばとる	固有名詞
ユニオン	ゆにおん
大攻防戦	だいこうぼうせん	固有名詞
カジュマ	かじゅま
カジュアルマッチ	かじゅあるまっち
ランクマ	らんくま
ランクマッチ	らんくまっち
アサルト	あさると	固有名詞
シュライク	しゅらいく	固有名詞
オーバーヒート	おーばーひーと
開幕凸	かいまくとつ
カタパ	かたぱ
カタパルト	かたぱると
キルデス	きるです
屈キャン	くっきゃん	固有名詞
再始動	さいしどう	固有名詞
サテバン	さてばん	固有名詞
サテライトバンカー	さてらいとばんかー	固有名詞
要請兵器	ようせいへいき	固有名詞
自動砲台	じどうほうだい
シュラゴン	しゅらごん	固有名詞
初狩り	しょかり
smurf	すまーふ
凸屋	とつや	固有名詞
ニュード	にゅーど	固有名詞
ニュード汚染	にゅーどおせん	固有名詞
ネクロマンサー	ねくろまんさー
ピタゴラ	ぴたごら
ブラスト	ぶらすと	固有名詞
ボーダー	ぼーだー	固有名詞
ボダブレ	ぼだぶれ	固有名詞
プラカノ	ぷらかの	固有名詞
採掘島	さいくつとう	地名
産業港	さんぎょうこう	地名
ウーハイ	うーはい	地名
リペアポッド	りぺあぽっど	固有名詞
リムペ	りむぺ	固有名詞
リムペットボム	りむぺっとぼむ	固有名詞
SPゲージ	えすぴーげーじ	固有名詞
スカービ	すかーび	地名
旧ブロア	きゅうぶろあ	地名
トラザ	とらざ	地名
メムノス	めむのす	地名
セクター9	せくたーないん	地名
キニシュ	きにしゅ	地名
D51	でぃーごーいち	地名
バレリオ	ばれりお	地名
ナローレイ	なろーれい	地名
ホープサイド	ほーぷさいど	地名
操練場	そうれんじょう
ウーハイ	うーはい	地名
ネソス島	ねそすとう	地名
ベネヴィス	べねびす	地名
高層サイト	こうそうさいと	地名
ロンシャ	ろんしゃ	地名
マリナセドナ	まりなせどな	地名
アルマイヤ	あるまいや	地名
エイオース	えいおーす	地名
マデルロンド	までるろんど	地名
ゲルベルク	げるべるく	地名
マウナ・エレ	まうなえれ	地名
デ・ネブラ	でねぶら	地名
大落片	だいらくへん
M532	えむごーさんに
バイオドーム	ばいおどーむ
エスコンダ	えすこんだ	地名
ラナクア	らなくあ	地名
ナヴァル	なばる	地名
岩石砂漠	がんせきさばく
