エリジウム	えりじうむ	名前(名)
カンタービレ	かんたーびれ	名前(名)
キアーベ	きあーべ	名前(名)
グラニ	ぐらに	名前(名)
ズィマー	じまー	名前(名)
テキサス	てきさす	名前(名)
ブラックナイト	ぶらっくないと	名前(名)
リード	りーど	名前(名)
ワイルドメイン	わいるどめいん	名前(名)
Tachanka	たちゃんか	名前(名)
アカフユ	あかふゆ	名前(名)
アステシア	あすてしあ	名前(名)
インドラ	いんどら	名前(名)
ウィスラッシュ	うぃすらっしゅ	名前(名)
エアースカーペ	えあーすかーべ	名前(名)
エンカク	えんかく	名前(名)
サベージ	さべーじ	名前(名)
シデロカ	しでろか	名前(名)
スペクター	すぺくたー	名前(名)
スワイヤー	すわいやー	名前(名)
テキーラ	てきーら	名前(名)
バイビーク	ばいぴーく	名前(名)
フランカ	ふらんか	名前(名)
フリント	ふりんと	名前(名)
ブローカ	ぶろーか	名前(名)
ラ・プルマ	らぷるま	名前(名)
ラップランド	らっぷらんど	名前(名)
Blitz	ぶりっつ	名前(名)
アスベストス	あすべすとす	名前(名)
アッシュロック	あっしゅろっく	名前(名)
ヴァルカン	ばるかん	名前(名)
ウン	うん	名前(名)
オーロラ	おーろら	名前(名)
クロワッサン	くろわっさん	名前(名)
シャレム	しゃれむ	名前(名)
ツェルニー	つぇるにー	名前(名)
ニアール	にあーる	名前(名)
バイソン	ばいそん	名前(名)
ヘビーレイン	へびーれいん	名前(名)
リスカム	りすかむ	名前(名)
アオスタ	あおすた	名前(名)
アズリウス	あずりうす	名前(名)
アンドレアナ	あんどれあな	名前(名)
イグゼキュター	いぐぜきゅたー	名前(名)
エイプリル	えいぷりる	名前(名)
エラト	えらと	名前(名)
グレースロート	ぐれーすろーと	名前(名)
シェーシャ	しぇーしゃ	名前(名)
トギフォンス	とぎふぉんす	名前(名)
ファイヤーウォッチ	ふぁいやーうぉっち	名前(名)
プラチナ	ぷらちな	名前(名)
プロヴァンス	ぷろばんす	名前(名)
メテオリーテ	めておりーて	名前(名)
アイリス	あいりす	名前(名)
アステジーニ	あすてじーに	名前(名)
アブサント	あぶさんと	名前(名)
アーミヤ	あーみや	名前(名)
コロセラム	ころせらむ	名前(名)
イェラ	いぇら	名前(名)
スカイフレア	すかいふれあ	名前(名)
トミミ	とみみ	名前(名)
ナイトメア	ないとめあ	名前(名)
ビーズワクス	びーずわくす	名前(名)
ミニマリスト	みにまりすと	名前(名)
ミント	みんと	名前(名)
レイズ	れいず	名前(名)
レオンハルト	れおんはると	名前(名)
ロックロック	ろっくろっく	名前(名)
ウィスパーレイン	うぃすぱーれいん	名前(名)
サイレンス	さいれんす	名前(名)
セイロン	せいろん	名前(名)
トゥイエ	とぅいえ	名前(名)
ハニーベリー	はにーべりー	名前(名)
フィリオプシス	ふぃりおぷしす	名前(名)
フォリニック	ふぉりにっく	名前(名)
ブリーズ	ぶりーず	名前(名)
マルベリー	まるべりー	名前(名)
ワルファリン	わるふぁりん	名前(名)
イースチナ	いーすちな	名前(名)
ウインドフリット	ういんどふりっと	名前(名)
クエルクス	くえるくす	名前(名)
グラウコス	ぐらうこす	名前(名)
シャマレ	しゃまれ	名前(名)
シーン	しーん	名前(名)
ソラ	そら	名前(名)
ツキノギ	つきのぎ	名前(名)
ハイディ	はいでぃ	名前(名)
プラマニクス	ぷらまにくす	名前(名)
プロヴァイゾ	ぷろばいぞ	名前(名)
メイヤー	めいやー	名前(名)
九色鹿	くしきろく	名前(名)
Frost	ふろすと	名前(名)
ウユウ	うゆう	名前(名)
エフイーター	えふいーたー	名前(名)
エンフォーサー	えんふぉーさー	名前(名)
カゼマル	かぜまる	名前(名)
カフカ	かふか	名前(名)
キララ	きらら	名前(名)
クリフハート	くりふはーと	名前(名)
スノーズント	すのーずんと	名前(名)
ベナ	べな	名前(名)
マンティコア	まんてぃこあ	名前(名)
レッド	れっど	名前(名)
ロビン	ろびん	名前(名)
ワイフー	わいふー	名前(名)
Sharp	しゃーぷ	名前(名)
Stormeye	すとーむあい	名前(名)
Pith	ぴす	名前(名)
Touch	たっち	名前(名)
