#表記	読み	クラス
#---実験体---
ジャッキー	じゃっきー	名前
アヤ	あや	名前
フィオラ	ふぃおら	名前
マグヌス	まぐぬす	名前
ザヒル	ざひる	名前
ナディン	なでぃん	名前
ヒョヌ	ひょぬ	名前
ハート	はーと	名前
アイソル	あいそる	名前
ダイリン	だいりん	名前
雪	ゆき	名前
ヘジン	へじん	名前
シウカイ	しうかい	名前
キアラ	きあら	名前
シセラ	しせら	名前
シルヴィア	しるびあ	名前
アドリアナ	あどりあな	名前
彰一	しょういち	名前
エマ	えま	名前
レノックス	れのっくす	名前
ロッジ	ろっじ	名前
ルク	るく	名前
キャッシー	きゃっしー	名前
アデラ	あでら	名前
バニス	ばにす	名前
バーバラ	ばーばら	名前
アレックス	あれっくす	名前
スア	すあ	名前
レオン	れおん	名前
Eleven	いれぶん	名前
莉央	りお	名前
ウィリアム	うぃりあむ	名前
ニッキー	にっきー	名前
ナタポン	なたぽん	名前
ヤン	やん	名前
エヴァ	えば	名前
ダニエル	だにえる	名前
ジェニー	じぇにー	名前
カミロ	かみろ	名前
クロエ	くろえ	名前
ヨハン	よはん	名前
ビアンカ	びあんか	名前
セリーヌ	せりーぬ	名前
エキオン	えきおん	名前
マイ	まい	名前
エイデン	えいでん	名前
ラウラ	らうら	名前
ティア	てぃあ	名前
フェリックス	ふぇりっくす	名前
エレナ	えれな	名前
プリヤ	ぷりや	名前
アディナ	あでぃな	名前
マーカス	まーかす	名前
カーラ	かーら	名前
エステル	えすてる	名前
ピオロ	ぴおろ	名前
マルティナ	まるてぃな	名前
ヘイズ	へいず	名前
アイザック	あいざっく	名前
タジア	たじあ	名前
イレム	いれむ	名前
テオドール	ておどーる	名前
イアン	いあん	名前
ヴァーニャ	ばーにゃ	名前
デビー&マーリン	でびーあんどまーりん	名前
デビー	でびー	名前
マーリン	まーりん	名前
アルダ	あるだ	名前
#---実験体以外---
ナジャ	なじゃ	名前
ウィクライン	うぃくらいん	名前
アルファ	あるふぁ	名前
オメガ	おめが	名前
ガンマ	がんま	名前
#---マスコット---
ウィルソン	うぃるそん	名前
