#表記	読み	クラス
#***新生エオルゼア***
#---ID---
サスタシャ浸食洞	さすたしゃしんしょくどう	地名
サスタシャ	さすたしゃ	地名
タムタラの墓所	たむたらのぼしょ	地名
カッパーベル銅山	かっぱーべるどうざん	地名
ハラタリ修練所	はらたりしゅうれんじょ	地名
トトラクの千獄	ととらくのせんごく	地名
ハウケタ	はうけた	地名
ブレイフロクスの野営地	ぶれいふろくすのやえいち	地名
ブレイフロクス	ぶれいふろくす	地名
カルン埋没寺院	かるんまいぼつじいん	地名
カッターズクライ	かったーずくらい	地名
ストーンヴィジル	すとーんびじる	地名
ゼーメル要塞	ぜーめるようさい	地名
オーラムヴェイル	おーらむべいる	地名
ワンダラーパレス	わんだらーぱれす	地名
カストルム・メリディアヌム	かすとるむめりてぃあぬむ	地名
魔導城プラエトリウム	まどうじょうぷらえとりうむ	地名
古城アムダプール	こじょうあむだぷーる	地名
シリウス大灯台	しりうすだいとうだい	地名
古アムダプール市街	こあむだぷーるしがい	地名
ハルブレーカー・アイル	はるぶれーかーあいる	地名
スノークローク大氷壁	すのーくろーくだいひょうへき	地名
死者の宮殿	ししゃのきゅうでん	地名
黙約の塔	もくやくのとう	地名
#---レイド---
クリスタルタワー	くりすたるたわー	地名
古代の民の迷宮	こだいのたみのめいきゅう	地名
シルクスの塔	しるくすのとう	地名
闇の世界	やみのせかい	地名
大迷宮バハムート	だいめいきゅうばはむーと	地名
#***蒼天のイシュガルド***
#---ID---
ダスクヴィジル	だすくびじる	地名
ソーム・アル	そーむある	地名
ドラゴンズエアリー	どらごんずえありー	地名
イシュガルド教皇庁	いしゅがるどきょうこうちょう	地名
グブラ幻想図書館	ぐぶらげんそうとしょかん	地名
魔科学研究所	まかがくけんきゅうじょ	地名
ネバーリープ	ねばーりーぷ	地名
フラクタル・コンティニアム	ふらくたるこんてぃにあむ	地名
聖モシャーヌ植物園	せいもしゃーぬしょくぶつえん	地名
逆さの塔	さかさのとう	地名
ソール・カイ	そーるかい	地名
ゼルファトル	ぜるふぁとる	地名
バエサルの長城	ばえさるのちょうじょう	地名
#---レイド---
魔航船ヴォイドアーク	まこうせんぼいどあーく	地名
禁忌都市マハ	きんきとしまは	地名
影の国ダン・スカー	かげのくにだんすかー	地名
#***紅蓮のリベレーター***
#---ID---
紫水宮	しすいきゅう	地名
バルダム覇道	ばるだむはどう	地名
ドマ城	どまじょう	地名
ザ・バーン	ざばーん	地名
ギムリトダーク	ぎむりとだーく	地名
#---レイド---
ラバナスタ	らばなすた	地名
リドルアナ	りどるあな	地名
次元の狭間	じげんのはざま	地名
#---その他---
アメノミハシラ	あめのみはしら	地名
エウレカ	えうれか	地名
#***漆黒のヴィランズ***
#---ID---
ホルミンスター	ほるみんすたー	地名
ドォーヌ・メグ	どぉーぬめぐ	地名
キタンナ神影洞	きたんなしんえいどう	地名
マリカの大井戸	まりかのおおいど	地名
グルグ火山	ぐるぐかざん	地名
アーモロート	あーもろーと	地名
シルクス・ツイニング	しるくすついにんぐ	地名
アナイダアカデミア	あないだあかでみあ	地名
グラン・コスモス	ぐらんこすもす	地名
終末のアーモロート	しゅうまつのあーもろーと	地名
#---レイド---
複製サレタ工場廃墟	ふくせいされたこうじょうはいきょ	地名
#---その他---
南方ボズヤ戦線	なんぽうぼずやせんせん	固有名詞
#***暁月のフィナーレ***
#---ID---
ゾットの塔	ぞっとのとう	地名
バブイルの塔	ばぶいるのとう	地名
ヴァナスパティ	ばなすぱてぃ	地名
ヒュペルボレア造物院	ひゅぺるぼれあぞうぶついん	地名
アイティオン星晶鏡	あいてぃおんせいしょうきょう	地名
レムナント	れむなんと	地名
終焉の戦い	しゅうえんのたたかい	固有名詞
アルザダール	あるざだーる	地名
スマイルトン	すまいるとん	地名
スティグマ・フォー	すてぃぐまふぉー	地名
#---レイド---
輝ける神域	かがやけるしんいき	固有名詞
アグライア	あぐらいあ	地名
万魔殿パンデモニウム	ばんまでんぱんでもにうむ	地名
パンデモニウム	ぱんでもにうむ	地名
辺獄編	へんごくへん	固有名詞
煉獄編	れんごくへん	固有名詞
天獄編	てんごくへん	固有名詞
#---その他---
アクアポリス	あくあぽりす	地名
エキサイトロン	えきさいとろん	地名
アロアロ島	あろあろとう	地名
シラディハ水道	しらでぃはすいどう	地名
六根山	ろっこんせん	地名
#***黄金のレガシー***
#---ID---
イフイカ・トゥム	いふいかとむ	地名
ウォーコー・ゾーモー	うぉーこーぞーもー	地名
天深きセノーテ	あまふかきせのーて	地名
オリジェニクス	おりじぇにくす	地名
サボテンダーバレー	さぼてんだーばれー	地名
ストレイバロー	すとれいばろー	地名
ユウェヤーワータ	ゆえやーわーた	地名
#---レイド---
至天の座	してんのざ	固有名詞
アルカディア	あるかでぃあ	固有名詞
