#表記	読み	クラス
#-------新生------
イフリート	いふりーと	名前(名)
タイタン	たいたん	名前(名)
ガルーダ	がるーだ	名前(名)
リヴァイアサン	りばいあさん	名前(名)
モグル・モグ	もぐるもぐ	名前(名)
ラムウ	らむう	名前(名)
シヴァ	しば	固有名詞
オーディン	おーでぃん	名前(名)
バハムート	ばはむーと	名前(名)
エンキドゥ	えんきどぅ	名前(名)
ギルガメッシュ	ぎるがめっしゅ	名前(名)
#-------蒼天------
ラーヴァナ	らーばな	名前(名)
ビスマルク	びすまるく	名前(名)
ナイツ・オブ・ラウンド	ないつおぶらうんど	固有名詞
蒼天幻想	そうてんげんそう	固有名詞
セフィロト	せふぃろと	名前(名)
ソフィア	そふぃあ	名前(名)
ズルワーン	ずるわーん	名前(名)
機工城	きこうじょう	固有名詞
アレキサンダー	あれきさんだー	固有名詞
#-------紅蓮------
スサノオ	すさのお	名前(名)
ラクシュミ	らくしゅみ	名前(名)
イノセンス	いのせんす	名前(名)
ツクヨミ	つくよみ	名前(名)
#-------漆黒------
ティターニア	てぃたーにあ	名前(名)
ハーデス	はーです	名前(名)
ウォーリアー・オブ・ライト	うぉーりあーおぶらいと	名前(名)
#-------暁月------
終焉を謳うもの	しゅうえんをうたうもの	名前(名)
ゴルベーザ	ごるべーざ	名前(名)
スカルミリョーネ	すかるみりょーね	名前(名)
バルバリシア	ばるばりしあ	名前(名)
カイナッツォ	かいなっつぉ	名前(名)
ルビカンテ	るびかんて	名前(名)
ゼロムス	ぜろむす	名前(名)
#-------黄金------
ヴァリガルマンダ	ばりがるまんだ	名前(名)
エターナルクイーン	エターナルクイーン	名前(名)
