#表記	読み	クラス
#世界根幹
ハイデリン	はいでりん	名前(名)
ゾディアーク	ぞでぃあーく	名前(名)
#エオルゼア十二神
ハルオーネ	はるおーね	名前(名)
メネフィナ	めねふぃな	名前(名)
サリャク	さりゃく	名前(名)
ニメーヤ	にめーや	名前(名)
リムレーン	りむれーん	名前(名)
オシュオン	おしゅおん	名前(名)
ビエルゴ	びえるご	名前(名)
ラールガー	らーるがー	名前(名)
アーゼマ	あーぜま	名前(名)
ナルザル	なるざる	名前(名)
ノフィカ	のふぃか	名前(名)
アルジク	あるじく	名前(名)
#暁の血盟関係者
ルイゾワ	るいぞわ	名前(名)
ミンフィリア	みんふぃりあ	名前(名)
フ・ラミン	ふらみん	名前(名)
アリゼー	ありぜー	名前(名)
アルフィノ	あるふぃの	名前(名)
ルヴェユール	るべゆーる	名前
タタル	たたる	名前(名)
クルル	くるる	名前(名)
ヤ・シュトラ	やしゅとら	名前(名)
グ・ラハ・ティア	ぐらはてぃあ	名前(名)
ラハ	らは	名前(名)
エスティニアン	えすてぃにあん	名前(名)
サンクレッド	さんくれっど	名前(名)
ウリエンジェ	うりえんじぇ	名前(名)
イダ	いだ	名前(名)
リセ	りせ	名前(名)
パパリモ	ぱぱりも	名前(名)
#ガーロンド・アイアンワークス
シド	しど	名前(名)
ビッグス	びっぐす	名前(名)
ウェッジ	うぇっじ	名前(名)
ネロ	ねろ	名前(名)
#事件屋
ゴッドベルト	ごっどべると	名前(名)
マンダヴィル	まんだびる	名前
ヒルディブランド	ひるでぃぶらんど	名前(名)
ナシュ	なしゅ	名前(名)
#エオルゼア三国
ナナモ	ななも	名前(名)
メルウィブ	めるびぶ	名前(名)
エインザル	えいんざる	名前(名)
霧髭	きりひげ	名前(名)
ラウバーン	らうばーん	名前(名)
カヌ・エ	かぬえ	名前(名)
カヌ・エ・センナ	かぬえせんな	名前(名)
モモディ	ももでぃ	名前(名)
ミューヌ	みゅーぬ	名前(名)
フフチャ	ふふちゃ	名前(名)
ロウェナ	ろうぇな	名前(名)
#帝国
ガイウス	がいうす	名前(名)
ヴァン・バエサル	ばんばえさる	名前
リットアティン	りっとあてぃん	名前(名)
リウィア	りうぃあ	名前(名)
#新生エオルゼア
アモン	あもん	名前(名)
ザンデ	ざんで	名前(名)
ラハブレア	らばふれあ	名前(名)
#蒼天のイシュガルド
トールダン	とーるだん	名前
アイメリク	あいめりく	名前(名)
ルキア	るきあ	名前(名)
ゼーメル	ぜーめる	名前
フォルタン	ふぉるたん	名前
アインハルト	あいんはると	名前
デュランデル	でゅらんでる	名前
エドモン	えどもん	名前(名)
アルトアレール	あるとあれーる	名前(名)
エマネラン	えまねらん	名前(名)
オルシュファン	おるしゅふぁん	名前(名)
オノロワ	おのろわ	名前(名)
フランセル	ふらんせる	名前(名)
カルヴァラン	かるばらん	名前(名)
ドリュモン	どりゅもん	名前(名)
イゼル	いぜる	名前(名)
ミドガルズオルム	みどがるずおるむ	名前(名)
フレースヴェルグ	ふれーすべるぐ	名前(名)
ニーズヘッグ	にーずへっぐ	名前(名)
ラタトスク	らたとすく	名前(名)
ヴィゾーヴニル	びぞーぶにる	名前(名)
#紅蓮のリベレーター
ゼノス	ぜのす	名前(名)
フォルドラ	ふぉるどら	名前(名)
ゴウセツ	ごうせつ	名前(名)
ユウギリ	ゆうぎる	名前(名)
ヒエン	ひえん	名前(名)
アサヒ	あさひ	名前(名)
シリナ	しりな	名前(名)
マグナイ	まぐない	名前(名)
サドゥ	さどぅ	名前(名)
ルゲイエ	るげいえ	名前(名)
#漆黒のヴィランズ
水晶公	すいしょうこう	名前
リーン	りーん	名前(名)
フェオ	ふぇお	名前(名)
ガイア	がいあ	名前(名)
ファダニエル	ふぁだにえる	名前(名)
エメトセルク	えめとせるく	名前(名)
エリディブス	えりでぃぶす	名前(名)
ヒュトロダエウス	ひゅとろだえうす	名前(名)
#暁月のフィナーレ
フルシュノ	ふるしゅの	名前(名)
アメリアンス	あめりあんす	名前(名)
ヴリトラ	ぶりとら	名前(名)
ヴェーネス	べーねす	名前(名)
アゼム	あぜむ	名前(名)
ヘルメス	へるめす	名前(名)
メーティオン	めーてぃおん	名前(名)
